1#风箱负压,CO浓度_mg_m3
-11.112,3391.927
-11.037,3406.033
-11.019,3354.311
-11.126,3399.523
-11.212,3404.586
-11.227,3445.819
-11.237,3479.456
-11.254,3528.646
-11.239,3575.666
-11.224,3552.156
-11.259,3479.456
-11.432,3435.692
-11.52,3422.309
-11.369,3391.927
-11.205,3376.736
-11.16,3357.567
-11.23,3319.951
-11.386,3265.335
-11.364,3272.57
-11.326,3232.06
-11.283,3242.549
-11.253,3216.869
-11.312,3254.123
-11.409,3269.676
-11.424,3257.74
-11.468,3284.867
-11.41,3288.846
-11.239,3376.736
-11.136,3387.587
-11.027,3414.713
-11.045,3407.118
-11.049,3395.544
-11.164,3395.544
-11.343,3304.037
-11.461,3319.951
-11.428,3280.527
-11.157,3284.867
-10.853,3319.951
-10.945,3331.163
-11.185,3246.528
-11.254,3232.06
-11.357,3239.294
-11.364,3284.867
-11.287,3368.417
-11.216,3331.163
-11.14,3246.528
-11.166,3158.999
-11.233,3131.872
-11.086,3106.192
-11.041,3131.872
-11.075,3083.767
-11.06,3139.468
-11.099,3116.681
-11.011,3158.637
-11.07,3116.681
-11.089,3067.853
-11.098,3112.703
-11.13,3139.106
-11.159,3151.403
-11.363,3193.721
-11.622,3166.233
-11.681,3205.295
-11.637,3219.763
-11.572,3234.592
-11.381,3296.441
-11.079,3351.418
-10.927,3308.015
-11.013,3270.037
-11.067,3254.123
-11.048,3212.167
-11.02,3150.318
-11.21,3139.468
-11.284,3135.127
-11.34,3154.297
-11.316,3177.084
-11.397,3234.954
-11.443,3338.759
-11.421,3368.417
-11.449,3414.713
-11.403,3510.2
-11.473,3574.942
-11.51,3601.346
-11.483,3639.323
-11.309,3504.774
-11.376,3422.309
-11.35,3419.054
-11.258,3422.309
-11.174,3357.567
-11.087,3368.417
-11.194,3379.992
-11.228,3422.309
-11.209,3438.223
-11.246,3516.71
-11.291,3528.646
-11.314,3574.942
-11.372,3649.812
-11.421,3650.535
-11.444,3725.767
-11.454,3715.639
-11.464,3737.703
-11.421,3708.044
-11.33,3726.852
-11.342,3723.235
-11.343,3654.876
-11.271,3631.366
-11.331,3501.519
-11.346,3468.244
-11.38,3379.992
-11.356,3353.588
-11.35,3265.335
-11.469,3212.891
-11.567,3364.8
-11.622,3308.015
-11.641,3368.417
-11.718,3350.333
-11.646,3372.396
-11.671,3414.352
-11.62,3335.142
-11.778,3346.354
-11.92,3308.015
-11.873,3272.931
-12.05,3468.244
-12.08,3544.56
-11.938,3264.974
-11.863,3311.632
-11.685,3261.719
-11.485,3346.354
-11.464,3422.309
-11.483,3395.544
-11.384,3411.097
-11.398,3357.567
-11.484,3434.245
-11.695,3391.927
-11.812,3536.242
-11.785,3639.323
-11.796,3640.408
-11.702,3670.067
-11.536,3631.366
-11.513,3658.493
-11.491,3753.617
-11.717,2013.166
-11.933,2880.859
-12.051,3784.361
-12.057,3897.931
-11.946,3825.593
-11.78,3772.063
-11.596,3704.789
-11.593,3665.365
-11.599,3567.347
-11.641,3483.435
-11.664,3490.669
-11.816,3456.669
-11.687,3501.881
-11.696,3563.73
-11.737,3590.133
-11.553,3453.053
-11.523,3331.163
-11.529,3292.101
-11.579,3265.335
-11.652,3319.951
-11.581,3383.608
-11.372,3464.989
-11.209,3464.989
-11.301,3461.01
-11.438,3483.073
-11.513,3398.438
-11.521,3433.883
-11.639,3399.161
-11.712,3391.204
-11.857,3327.546
-12.006,3312.355
-12.075,3319.951
-11.872,3272.931
-11.652,3224.465
-11.569,3231.699
-11.598,3284.867
-11.495,3315.972
-11.424,3284.867
-11.449,3246.528
-11.588,3162.977
-11.64,3082.682
-11.572,3079.065
-11.578,3139.468
-11.553,3123.915
-11.6,3138.382
-11.522,3150.318
-11.47,3174.19
-11.528,3208.55
-11.477,3268.953
-11.431,3379.992
-11.407,3407.118
-11.464,3419.054
-11.514,3395.544
-11.391,3361.183
-11.349,3312.355
-11.36,3254.123
-11.332,3205.295
-11.395,3239.294
-11.488,3235.677
-11.465,3311.632
-11.253,3323.568
-11.053,3361.183
-11.013,3403.139
-11.18,3418.692
-11.312,3422.309
-11.43,3437.138
-11.484,3449.436
-11.477,3426.287
-11.365,3372.396
-11.356,3364.8
-11.436,3399.523
-11.421,3376.013
-11.428,3364.8
-11.41,3296.441
-11.268,3281.25
-11.213,3331.163
-11.204,3342.737
-11.171,3281.25
-11.346,3197.7
-11.518,3132.234
-11.579,2998.77
-11.588,2987.919
-11.532,3033.131
-11.502,3102.937
-11.438,3254.123
-11.247,3254.123
-11.216,3269.676
-11.286,3246.889
-11.3,3224.465
-11.339,3242.549
-11.381,3235.315
-11.58,3216.869
-11.618,3189.019
-11.693,3158.999
-11.757,3139.829
-11.701,3230.614
-11.576,3276.91
-11.511,3342.737
-11.596,3418.692
-11.643,3475.477
-11.646,3586.516
-11.589,3593.75
-11.57,3604.601
-11.406,3685.257
-11.394,3638.961
-11.636,3564.453
-11.644,3719.256
-11.609,3702.98
-11.583,3638.961
-11.55,3673.683
-11.774,3670.067
-11.85,3822.7
-12.304,3916.739
-12.81,4141.348
-12.906,4310.619
-12.991,4446.615
-12.996,4370.298
-12.843,4408.275
-12.702,4449.87
-12.702,4414.063
-12.267,4267.578
-11.965,4059.245
-11.967,3682.002
-11.666,3372.396
-11.671,3182.509
-11.435,3231.699
-10.42,3362.269
-11.082,2938.006
-11.179,3419.054
-11.458,3239.294
-11.492,3056.641
-11.468,2991.537
-11.57,3098.959
-11.372,3169.85
-11.377,3280.527
-11.383,3304.037
-11.48,3227.72
-11.645,3200.955
-11.913,3139.106
-12.031,3204.933
-12.089,3215.784
-12.077,1000.072
-12.149,81.019
-12.054,24.957
-12.004,1.447
-12.165,1.447
-12.251,13.383
-12.269,9.404
-12.082,13.383
-11.947,8019.749
-11.875,9995.298
-11.811,9998.554
-11.919,9998.554
-11.789,1086.878
-11.63,84.997
-11.659,24.957
-11.699,20.978
-11.615,405.816
-11.637,2953.921
-11.604,3315.972
-11.588,3387.587
-11.604,3374.566
-11.7,3426.287
