1#大烟道温度,CO浓度_mg_m3
156.4,3494.285
156.9,3563.73
157.0,3567.347
157.2,3567.347
157.9,3559.751
159.2,3468.244
160.5,3365.162
161.4,3292.463
161.7,3300.419
161.6,3407.118
161.1,3450.882
161.3,3494.285
162.3,3457.031
163.6,3383.608
164.8,3331.163
165.8,3277.272
166.7,3323.568
167.1,3368.417
167.4,3350.333
167.4,3376.736
167.2,3327.546
166.1,3338.759
164.5,3272.931
163.2,3265.335
162.4,3403.139
162.0,3434.245
162.2,3426.287
163.0,3315.972
164.5,3311.632
166.3,3232.06
166.4,3234.954
165.0,3235.315
164.5,3308.377
164.0,3372.396
163.5,3368.779
163.2,3312.355
162.9,3312.355
162.7,3281.25
162.7,3292.463
163.0,3300.419
163.3,3353.588
163.5,3292.101
162.5,3327.546
161.1,3368.417
159.7,3489.945
158.9,3504.774
158.5,3536.242
158.4,3571.325
158.0,3567.347
158.0,3627.387
158.7,3631.366
159.9,3509.838
161.7,3289.93
163.5,3162.977
164.9,3135.851
165.8,3109.809
166.1,3109.447
165.4,3127.894
164.0,3154.297
162.2,3223.38
160.7,3238.571
159.6,3269.314
158.8,3288.484
157.8,3288.846
157.2,3269.314
157.0,3343.099
157.2,3343.822
157.4,3269.676
158.1,3162.254
158.8,3181.785
159.1,3162.977
159.4,3216.146
159.8,3158.999
160.6,3135.127
161.2,3094.618
162.1,3075.449
163.2,3006.004
163.9,3028.429
163.6,3010.344
161.7,3055.917
159.7,3513.455
158.4,3335.142
157.7,3272.931
157.1,3304.037
156.4,3353.588
156.7,3350.333
157.4,3395.544
158.1,3399.523
158.1,3402.778
158.4,3335.142
158.6,3338.759
