13#风箱温度,CO浓度_mg_m3
369.3,3548.177
341.45000000000005,3665.726
315.25,4153.646
304.9,3742.405
304.65,3547.815
279.9,3540.22
287.4,3590.133
308.95,3627.387
314.20000000000005,3594.112
306.9,3441.84
282.2,3419.416
284.65,3383.608
290.54999999999995,3300.419
299.6,3209.274
348.25,3131.872
344.25,3021.195
345.75,923.032
363.65,2611.039
382.35,2994.792
397.04999999999995,3013.961
377.4,3071.832
318.15,3139.468
291.70000000000005,3219.763
305.35,3189.743
322.04999999999995,3200.593
315.79999999999995,3231.699
287.2,3258.102
280.6,3335.142
269.95000000000005,3379.992
265.54999999999995,3386.502
246.95,3361.183
228.25,3423.394
224.60000000000002,3601.346
213.25,3620.515
217.39999999999998,3669.343
232.7,3571.325
230.4,3528.646
232.14999999999998,3419.054
240.3,3430.628
241.3,3372.396
231.35000000000002,3395.182
223.9,3338.759
260.3,3276.91
286.95000000000005,3212.891
293.35,3128.617
315.45,3121.022
310.8,3158.637
292.8,3147.063
264.1,3230.975
261.0,3220.125
256.6,3228.082
238.6,3300.419
217.05,3357.567
192.75,3379.992
179.1,3468.605
187.85,3501.881
203.95,3505.859
224.15,3616.175
220.2,3571.325
205.25,3525.029
191.4,3525.029
177.15,3521.05
167.7,3612.196
179.60000000000002,3590.133
197.3,3627.387
228.9,3612.196
236.05,3547.815
234.6,3521.05
223.85000000000002,3521.05
218.2,3505.859
203.1,3517.433
200.35,3454.5
183.7,3461.01
171.2,3546.369
178.3,3574.942
183.65,3563.73
198.4,3598.09
211.89999999999998,3604.963
204.1,3588.325
202.05,3559.389
205.8,3566.623
222.0,3571.325
223.10000000000002,3494.285
230.25,3563.73
